qpoint_index branchID frequency groupVel_x groupVel_y groupVel_z DOS gruneisen_param
Max bandID: 6
Max qpoint index: 1728
42 4 22.8058632800 1.3268930 1.3268930 -11.7416390 0.0000000000 1.3270504560
42 5 22.9397288220 -0.7729346 -0.7729346 -7.4469102 0.0000000000 1.3042045870
42 6 26.0120034025 15.4205901 15.4205901 -39.5352690 0.0000000000 1.0878595380
43 1 9.8782808545 16.1736170 16.1736170 42.3047537 0.0000000000 0.1723248989
43 2 12.1144010236 -0.3927926 -0.3927926 87.8987222 0.0000000000 0.5427210948
43 3 16.1850534391 -16.9984477 -16.9984477 40.3163347 0.0000000000 0.9023054176
43 4 22.5769770049 5.5133860 5.5133860 -14.3912071 0.0000000000 1.3396845757
43 5 22.7996839682 0.0237244 0.0237244 -17.0217054 0.0000000000 1.2841139808
43 6 25.5115087621 6.3646674 6.3646674 -16.1911779 0.0000000000 1.1432422931
44 1 9.8227190903 25.0783049 25.0783049 29.1011441 0.0000000000 0.1107669275
44 2 12.7395161400 29.6539423 29.6539423 93.4243134 0.0000000000 0.5782526044
44 3 16.4967221726 -4.9415344 -4.9415344 -26.8752116 0.0000000000 0.9205180050
44 4 22.3979668760 1.3714867 1.3714867 -4.7957407 0.0000000000 1.3308671754
44 5 22.7151198921 -10.2686560 -10.2686560 -15.0214004 0.0000000000 1.2593500616
44 6 25.4265848738 -4.5185970 -4.5185970 2.8618608 0.0000000000 1.1786334477
45 1 9.4420748812 34.6975734 34.6975734 15.1543883 0.0000000000 0.0900021161
45 2 12.7701507488 54.7969941 54.7969941 77.6114313 0.0000000000 0.5812642073
45 3 15.8168929385 26.7661802 26.7661802 -60.2338519 0.0000000000 0.9758439549
45 4 22.3952082122 -2.4872509 -2.4872509 -0.9070316 0.0000000000 1.3306108535
45 5 22.9225700867 -16.2040046 -16.2040046 -2.6643470 0.0000000000 1.2318685566
45 6 25.6928830046 -13.0600555 -13.0600555 9.5019054 0.0000000000 1.1532167459
46 1 8.7182355801 44.6805770 44.6805770 0.0000000 0.0000000000 0.0683544964
46 2 11.9211632486 72.3474410 72.3474410 0.0000000 0.0000000000 0.5954434588
46 3 14.4698118806 63.2838211 63.2838211 0.0000000 0.0000000000 0.9952203717
46 4 22.4590227146 -5.2042146 -5.2042146 0.0000000 0.0000000000 1.2971180268
46 5 23.1528891363 -5.3212344 -5.3212344 0.0000000 0.0000000000 1.2476245476
46 6 26.0709811108 -18.3503421 -18.3503421 0.0000000 0.0000000000 1.0961103224
47 1 7.6846658044 54.7075943 54.7075943 -2.8331078 0.0000000000 0.0266208009
47 2 9.8319491093 79.5375879 79.5375879 -79.2423627 0.0000000000 0.5378010860
47 3 13.5960450096 72.9239905 72.9239905 90.8276251 0.0000000000 0.9878453556
47 4 22.6210573662 -9.3944138 -9.3944138 2.5918163 0.0000000000 1.2502423049
47 5 23.1932145633 -1.3475708 -1.3475708 -2.4763926 0.0000000000 1.2444895403
47 6 26.4652614048 -31.0863569 -31.0863569 -14.5612421 0.0000000000 1.0628022560
48 1 6.5783842744 54.5453317 54.5453317 14.4811978 0.0000000000 0.0329893041
48 2 7.5599492348 65.1466364 65.1466364 -62.2491576 0.0000000000 0.2856091571
48 3 13.0468218967 89.0696652 89.0696652 111.2833258 0.0000000000 1.0331688003
48 4 22.8338727531 -8.4765262 -8.4765262 0.1160792 0.0000000000 1.2106811026
48 5 23.0937060848 2.7313498 2.7313498 -16.8366889 0.0000000000 1.2108189965
48 6 27.2073426466 -58.0118565 -58.0118565 -19.5212307 0.0000000000 1.0464518008
49 1 6.9687835656 19.0402383 19.0402383 19.0402383 0.0000000000 -0.0482660518
49 2 6.9687835656 25.5122838 25.5122838 25.5122838 0.0000000000 0.0962938367
49 3 15.1708667370 88.6477727 88.6477727 88.6477727 0.0000000000 0.9932044591
49 4 22.8684701528 -1.0301429 -1.0301429 -1.0301429 0.0000000000 1.2296961978
