kpoint_index bandID energy groupVel_x groupVel_y groupVel_z DOS fermiEnergy
Max kpoint index: 216
Max bandID: 3
75 2 0.486709 0.320292 -0.000000 -0.000000 2.000000000000000 0.486709
75 3 0.486709 0.320292 -0.000000 -0.000000 3.000000000000000 0.486709
76 1 0.179809 0.603767 -0.121331 0.121331 1.000000000000000 0.179809
76 2 0.358815 0.470808 -0.425658 0.425657 2.000000000000000 0.358815
76 3 0.474162 0.157874 0.147007 -0.147007 3.000000000000000 0.474162
77 1 0.164166 -0.000000 0.164987 -0.164987 1.000000000000000 0.164166
77 2 0.263719 -0.000000 0.177010 -0.177010 2.000000000000000 0.263719
77 3 0.518675 0.000000 0.266447 -0.266447 3.000000000000000 0.518675
78 1 0.172334 0.758135 0.458315 -0.458315 1.000000000000000 0.172334
78 2 0.444291 -0.933736 0.457423 -0.457423 2.000000000000000 0.444291
78 3 0.593929 -0.027457 0.250358 -0.250359 3.000000000000000 0.593929
79 1 0.332032 0.713038 0.713038 -0.643608 1.000000000000000 0.332032
79 2 0.547572 -0.108669 -0.108670 -0.782100 2.000000000000000 0.547572
79 3 0.550560 -0.108696 -0.108695 -0.418346 3.000000000000000 0.550560
80 1 0.396379 0.706518 0.000000 -0.706518 1.000000000000000 0.396379
80 2 0.499625 0.557896 0.000000 -0.557896 2.000000000000000 0.499625
80 3 0.651064 0.157960 0.000000 -0.157960 3.000000000000000 0.651064
81 1 0.332032 0.643609 -0.713038 -0.713038 1.000000000000000 0.332032
81 2 0.547572 0.782101 0.108670 0.108670 2.000000000000000 0.547572
81 3 0.550560 0.418347 0.108696 0.108696 3.000000000000000 0.550560
82 1 0.246441 0.503252 -0.429876 -0.000000 1.000000000000000 0.246441
82 2 0.376931 0.355750 -0.607013 -0.000000 2.000000000000000 0.376931
82 3 0.500703 0.824437 0.173766 0.000000 3.000000000000000 0.500703
83 1 0.138105 -0.259165 0.000000 0.259165 1.000000000000000 0.138105
83 2 0.333058 0.508277 0.000000 -0.508277 2.000000000000000 0.333058
83 3 0.448761 0.530871 0.000000 -0.530871 3.000000000000000 0.448761
84 1 0.246441 0.000000 0.429876 -0.503252 1.000000000000000 0.246441
84 2 0.376931 0.000000 0.607014 -0.355750 2.000000000000000 0.376931
84 3 0.500703 0.000000 -0.173766 -0.824437 3.000000000000000 0.500703
85 1 0.313491 0.000000 -0.000000 -1.050227 1.000000000000000 0.313491
85 2 0.486709 0.000000 -0.000000 -0.320292 2.000000000000000 0.486709
85 3 0.486709 0.000000 -0.000000 -0.320292 3.000000000000000 0.486709
86 1 0.332032 0.713038 -0.713038 -0.643609 1.000000000000000 0.332032
86 2 0.547572 -0.108670 0.108670 -0.782101 2.000000000000000 0.547572
86 3 0.550560 -0.108696 0.108696 -0.418347 3.000000000000000 0.550560
87 1 0.228116 0.702358 -0.702358 -0.702358 1.000000000000000 0.228116
87 2 0.616683 -0.080510 -0.240826 -0.240826 2.000000000000000 0.616683
87 3 0.616683 0.240826 0.080510 0.080510 3.000000000000000 0.616683
88 1 0.172334 0.458315 -0.458315 -0.758135 1.000000000000000 0.172334
88 2 0.444291 0.457423 -0.457423 0.933736 2.000000000000000 0.444291
88 3 0.593929 0.250359 -0.250359 0.027457 3.000000000000000 0.593929
89 1 0.164166 0.164987 -0.164987 -0.000000 1.000000000000000 0.164166
89 2 0.263719 0.177010 -0.177010 -0.000000 2.000000000000000 0.263719
89 3 0.518675 0.266447 -0.266447 -0.000000 3.000000000000000 0.518675
90 1 0.179809 -0.121331 0.121331 -0.603767 1.000000000000000 0.179809
90 2 0.358815 -0.425657 0.425657 -0.470808 2.000000000000000 0.358815
90 3 0.474162 0.147007 -0.147007 -0.157874 3.000000000000000 0.474162
91 1 0.179809 -0.121331 -0.121331 -0.603767 1.000000000000000 0.179809
91 2 0.358815 -0.425657 -0.425658 -0.470808 2.000000000000000 0.358815
91 3 0.474162 0.147007 0.147007 -0.157874 3.000000000000000 0.474162
92 1 0.246441 0.000000 -0.429876 -0.503252 1.000000000000000 0.246441
92 2 0.376931 0.000000 -0.607013 -0.355750 2.000000000000000 0.376931
92 3 0.500703 -0.000000 0.173766 -0.824437 3.000000000000000 0.500703
93 1 0.172334 0.758135 -0.458315 -0.458315 1.000000000000000 0.172334
93 2 0.444291 -0.933736 -0.457423 -0.457423 2.000000000000000 0.444291
93 3 0.593929 -0.027457 -0.250359 -0.250359 3.000000000000000 0.593929
94 1 0.109051 0.476524 -0.150024 -0.476524 1.000000000000000 0.109051
94 2 0.476043 -0.267442 -0.975327 0.267442 2.000000000000000 0.476043
94 3 0.549760 -0.211032 -0.233481 0.211032 3.000000000000000 0.549760
95 1 0.138105 0.000000 0.259165 -0.259165 1.000000000000000 0.138105
95 2 0.333058 0.000000 -0.508277 0.508277 2.000000000000000 0.333058
95 3 0.448761 -0.000000 -0.530871 0.530871 3.000000000000000 0.448761
96 1 0.145204 0.246962 -0.000000 -0.000000 1.000000000000000 0.145204
96 2 0.346722 -0.533964 0.000001 0.000000 2.000000000000000 0.346722
96 3 0.355598 -0.351667 -0.000001 -0.000000 3.000000000000000 0.355598
97 1 0.164166 0.164987 0.164987 -0.000000 1.000000000000000 0.164166
97 2 0.263719 0.177010 0.177010 0.000000 2.000000000000000 0.263719
97 3 0.518675 0.266447 0.266447 0.000000 3.000000000000000 0.518675
98 1 0.138105 -0.259165 0.000000 0.259165 1.000000000000000 0.138105
98 2 0.333058 0.508277 0.000000 -0.508277 2.000000000000000 0.333058
98 3 0.448761 0.530871 0.000000 -0.530871 3.000000000000000 0.448761
99 1 0.164166 0.000000 -0.164987 -0.164987 1.000000000000000 0.164166
99 2 0.263719 0.000000 -0.177010 -0.177010 2.000000000000000 0.263719
99 3 0.518675 0.000000 -0.266447 -0.266447 3.000000000000000 0.518675
100 1 0.138105 0.259165 0.259165 -0.000000 1.000000000000000 0.138105
100 2 0.333058 -0.508277 -0.508277 -0.000000 2.000000000000000 0.333058
100 3 0.448761 -0.530871 -0.530871 0.000000 3.000000000000000 0.448761
101 1 0.164166 -0.164987 0.000000 0.164987 1.000000000000000 0.164166
101 2 0.263719 -0.177010 0.000000 0.177010 2.000000000000000 0.263719
101 3 0.518675 -0.266447 0.000000 0.266447 3.000000000000000 0.518675
102 1 0.138105 0.000000 -0.259165 -0.259165 1.000000000000000 0.138105
102 2 0.333058 0.000000 0.508277 0.508277 2.000000000000000 0.333058
102 3 0.448761 0.000000 0.530871 0.530871 3.000000000000000 0.448761
103 1 0.172334 0.458315 0.458315 -0.758135 1.000000000000000 0.172334
103 2 0.444291 0.457423 0.457423 0.933736 2.000000000000000 0.444291
103 3 0.593929 0.250359 0.250358 0.027457 3.000000000000000 0.593929
104 1 0.246441 0.503252 0.429876 -0.000000 1.000000000000000 0.246441
104 2 0.376931 0.355750 0.607014 -0.000000 2.000000000000000 0.376931
104 3 0.500703 0.824437 -0.173766 -0.000000 3.000000000000000 0.500703
105 1 0.179809 0.603767 0.121331 0.121331 1.000000000000000 0.179809
105 2 0.358815 0.470808 0.425657 0.425657 2.000000000000000 0.358815
105 3 0.474162 0.157874 -0.147007 -0.147007 3.000000000000000 0.474162
106 1 0.145204 0.000000 -0.000000 -0.246962 1.000000000000000 0.145204
106 2 0.346722 0.000000 0.000001 0.533964 2.000000000000000 0.346722
106 3 0.355598 0.000000 -0.000001 0.351667 3.000000000000000 0.355598
107 1 0.138105 0.259165 -0.259165 -0.000000 1.000000000000000 0.138105
107 2 0.333058 -0.508277 0.508277 -0.000000 2.000000000000000 0.333058
